Size,Bath,Bed,City_Lisboa,City_Oeiras,City_Other,City_Sintra,good_prop
60,1,2,0,0,1,0,1
86,1,2,0,0,1,0,1
170,2,5,0,0,1,0,1
237,3,3,0,0,0,0,0
207,2,5,0,0,1,0,0
87,1,1,0,0,0,0,0
69,1,1,0,0,1,0,0
104,4,3,0,0,1,0,0
167,3,3,1,0,0,0,0
92,2,3,0,0,1,0,1
179,5,3,0,0,0,1,0
105,1,3,0,0,1,0,1
82,1,3,0,0,1,0,1
134,3,3,0,0,0,1,0
68,2,1,0,0,1,0,1
217,3,4,0,0,1,0,0
65,1,2,0,0,1,0,1
167,4,4,0,1,0,0,0
136,2,4,0,0,1,0,0
200,1,4,0,0,1,0,1
196,1,5,0,0,0,0,0
160,3,4,1,0,0,0,0
186,2,3,0,0,1,0,1
143,1,2,0,0,1,0,1
166,2,3,0,0,1,0,1
160,3,3,0,1,0,0,0
119,2,2,0,0,0,0,0
78,2,2,0,0,1,0,1
202,4,4,0,0,1,0,0
247,4,5,0,0,1,0,0
250,4,4,0,0,0,1,0
50,1,4,1,0,0,0,0
109,1,2,0,0,1,0,1
260,2,6,0,0,1,0,1
110,2,2,0,0,1,0,1
260,3,4,0,0,0,0,0
206,3,4,0,0,0,1,0
240,4,4,0,0,1,0,1
191,4,3,0,0,1,0,0
196,2,3,0,0,1,0,0
135,1,2,0,0,1,0,1
156,2,4,0,0,1,0,0
121,1,1,0,0,1,0,1
242,5,5,0,0,1,0,0
136,3,2,0,0,1,0,1
94,2,2,0,0,1,0,1
250,3,1,0,0,1,0,0
126,1,3,1,0,0,0,1
109,1,3,1,0,0,0,1
64,1,2,1,0,0,0,1
136,1,3,0,0,1,0,1
41,2,2,0,0,0,1,0
140,2,3,0,0,0,1,1
100,4,3,0,0,0,1,1
251,6,5,0,0,1,0,0
103,1,2,0,0,1,0,1
148,2,2,0,0,1,0,1
108,3,4,0,0,0,1,1
135,4,2,0,0,0,0,0
165,2,3,0,0,1,0,1
160,3,4,0,0,0,1,0
102,2,4,0,0,1,0,1
240,5,3,0,1,0,0,0
124,2,3,0,1,0,0,0
84,3,4,1,0,0,0,1
60,4,2,0,0,1,0,1
136,3,4,0,0,1,0,1
141,5,6,0,0,0,0,0
54,1,2,0,0,0,1,1
65,1,2,0,0,1,0,0
147,4,3,0,0,1,0,0
247,4,4,0,0,1,0,0
100,2,3,0,0,1,0,1
120,2,2,0,0,1,0,1
235,3,4,0,0,0,1,0
134,2,4,0,0,0,1,0
191,4,4,0,0,1,0,1
57,1,2,0,0,1,0,1
151,1,2,0,0,0,0,0
55,1,1,0,0,1,0,1
215,5,4,0,0,1,0,0
163,3,2,0,0,0,0,0
224,3,4,0,0,1,0,0
128,2,2,0,0,1,0,0
103,3,3,0,1,0,0,0
156,3,4,0,0,1,0,0
110,2,3,0,1,0,0,0
168,3,2,0,0,0,0,1
129,2,1,0,0,1,0,1
115,2,5,0,0,0,1,1
262,3,3,0,0,0,1,0
87,1,1,0,0,1,0,0
137,3,3,0,0,1,0,1
216,4,5,0,0,0,1,0
196,3,4,0,0,0,1,0
128,3,4,0,0,1,0,1
231,5,4,0,0,1,0,1
119,2,3,0,0,0,1,0
105,2,3,0,0,1,0,0
200,2,3,0,0,1,0,0
190,5,4,0,0,0,0,0
106,2,4,0,0,0,0,1
246,3,4,0,0,1,0,0
34,1,2,1,0,0,0,1
218,3,4,0,0,1,0,0
200,3,5,0,1,0,0,0
228,3,4,0,0,1,0,0
65,2,2,0,0,1,0,0
47,2,4,1,0,0,0,1
60,3,3,1,0,0,0,0
70,2,1,1,0,0,0,0
70,2,1,1,0,0,0,0
159,4,3,0,0,1,0,1
145,2,4,1,0,0,0,0
35,1,1,1,0,0,0,0
191,4,4,0,0,0,0,0
57,1,2,1,0,0,0,1
180,3,4,0,1,0,0,0
167,3,3,0,0,1,0,0
195,1,1,0,0,1,0,1
45,1,3,0,0,1,0,1
130,2,3,0,0,1,0,0
100,2,4,0,0,1,0,0
126,3,3,0,0,1,0,1
112,2,3,0,0,0,1,0
99,1,2,0,0,1,0,1
242,3,4,0,0,1,0,0
108,2,3,0,0,1,0,1
77,1,2,0,0,1,0,1
179,2,3,0,0,0,0,1
208,4,5,0,1,0,0,0
114,2,3,0,0,1,0,1
66,1,2,0,0,1,0,1
224,3,6,1,0,0,0,0
70,2,3,0,0,1,0,1
103,1,2,0,0,1,0,1
225,3,3,0,0,0,0,0
106,2,3,0,1,0,0,0
121,3,5,0,0,1,0,0
147,2,3,0,0,0,1,0
46,1,1,0,0,1,0,1
56,2,3,0,0,1,0,1
173,3,3,0,0,1,0,0
144,3,5,0,0,1,0,1
150,3,4,0,0,1,0,1
169,2,4,0,0,0,1,1
245,4,4,0,1,0,0,0
175,3,3,0,0,1,0,1
88,1,2,0,0,1,0,1
255,4,5,0,0,1,0,0
147,2,4,1,0,0,0,0
140,3,3,0,0,1,0,1
150,3,4,0,0,0,1,0
46,2,2,1,0,0,0,1
60,1,3,0,0,1,0,1
257,4,8,0,1,0,0,1
159,3,3,0,0,0,1,0
159,3,3,0,0,0,1,0
159,3,3,0,0,0,1,0
242,4,3,0,0,0,1,1
172,2,3,0,0,1,0,1
242,3,3,0,0,0,1,0
100,1,2,0,0,1,0,1
115,1,2,0,0,1,0,1
62,1,2,0,0,1,0,1
200,3,4,0,0,0,1,1
